age,unit,sex,indic_em,geo,year,employment
Y15-24,THS_PER,F,ACT,AT,2020 ,239 
Y15-24,THS_PER,F,ACT,BE,2020 ,169 
Y15-24,THS_PER,F,ACT,BG,2020 ,54 
Y15-24,THS_PER,F,ACT,CH,2020 ,278 
Y15-24,THS_PER,F,ACT,CY,2020 ,18 
Y15-24,THS_PER,F,ACT,CZ,2020 ,100 
Y15-24,THS_PER,F,ACT,DE,2020 ,2004 bp
Y15-24,THS_PER,F,ACT,DK,2020 ,210 
Y15-24,THS_PER,F,ACT,EA19,2020 ,6307 
Y15-24,THS_PER,F,ACT,EE,2020 ,25 
Y15-24,THS_PER,F,ACT,EL,2020 ,100 
Y15-24,THS_PER,F,ACT,ES,2020 ,640 
Y15-24,THS_PER,F,ACT,EU15,2020 ,: 
Y15-24,THS_PER,F,ACT,EU27_2020,2020 ,7836 
Y15-24,THS_PER,F,ACT,EU28,2020 ,: 
Y15-24,THS_PER,F,ACT,FI,2020 ,151 
Y15-24,THS_PER,F,ACT,FR,2020 ,1265 
Y15-24,THS_PER,F,ACT,FX,2020 ,1238 
Y15-24,THS_PER,F,ACT,HR,2020 ,54 
Y15-24,THS_PER,F,ACT,HU,2020 ,130 
Y15-24,THS_PER,F,ACT,IE,2020 ,134 
Y15-24,THS_PER,F,ACT,IS,2020 ,15 b
Y15-24,THS_PER,F,ACT,IT,2020 ,530 
Y15-24,THS_PER,F,ACT,LT,2020 ,47 
Y15-24,THS_PER,F,ACT,LU,2020 ,11 
Y15-24,THS_PER,F,ACT,LV,2020 ,26 
Y15-24,THS_PER,F,ACT,ME,2020 ,10 
Y15-24,THS_PER,F,ACT,MK,2020 ,28 
Y15-24,THS_PER,F,ACT,MT,2020 ,13 
Y15-24,THS_PER,F,ACT,NL,2020 ,728 
Y15-24,THS_PER,F,ACT,NO,2020 ,175 
Y15-24,THS_PER,F,ACT,PL,2020 ,460 
Y15-24,THS_PER,F,ACT,PT,2020 ,152 
Y15-24,THS_PER,F,ACT,RO,2020 ,235 
Y15-24,THS_PER,F,ACT,RS,2020 ,72 
